"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.58333854302885e-260,-2.34602533379802,0.037,0.391,3.5294199462656e-256,"0","LIMD2"
1.96411647134127e-260,-1.61731848690732,0.193,0.605,4.37821202626682e-256,"0","SRGN"
2.60629036929085e-260,-1.51189491209932,0.022,0.365,5.80968186218624e-256,"0","IFI27L2"
3.34691997175645e-260,-0.335170101597056,0.077,0.48,7.46061930904231e-256,"0","EIF3L"
5.08979819029054e-260,-0.935534362955193,0.04,0.404,1.13456691459767e-255,"0","SDF4"
8.59503440341838e-260,-1.12095047162629,0.066,0.454,1.91591911886599e-255,"0","SAMHD1"
3.02524627778625e-259,-1.85120868318174,0.02,0.361,6.74357647781334e-255,"0","LRP1"
3.86882928980911e-259,-1.41025752116079,0.026,0.373,8.62400736991348e-255,"0","EPSTI1"
4.21690900616768e-259,-1.67541759442288,0.058,0.434,9.39991186564837e-255,"0","ZEB2"
5.75063799562872e-259,-0.592248448022406,0.098,0.517,1.2818747156056e-254,"0","EIF3M"
6.77427707617784e-259,-0.417070084873811,0.063,0.45,1.5100541030508e-254,"0","NUCB1"
7.27660962951656e-259,-1.13848734988942,0.061,0.444,1.62202905251554e-254,"0","KLF13"
1.21792611829416e-258,-1.99745761366056,0.015,0.349,2.71487911028951e-254,"0","TMEM173"
4.00478686420365e-258,0.711202752925955,0.941,0.976,8.92707039899636e-254,"0","RPL8"
2.82116043565049e-257,-0.96529842977017,0.051,0.422,6.28864872710851e-253,"0","MRPS6"
4.79642588007149e-257,-0.501266687685366,0.161,0.636,1.06917129292674e-252,"0","LRRFIP1"
8.06470970408853e-257,-0.725435027776901,0.063,0.448,1.79770444013838e-252,"0","TIMP2"
1.51964257204978e-256,-1.87819888870099,0.033,0.385,3.38743525735615e-252,"0","MAF"
5.18268915687962e-256,-0.308286478235524,0.115,0.55,1.15527323996004e-251,"0","THRAP3"
3.47337928982563e-255,-1.81893814231218,0.028,0.374,7.7425097749503e-251,"0","APBB1IP"
4.61987579884736e-255,2.88536667138738,0.444,0.193,1.02981651432106e-250,"0","SMIM22"
1.02276293430126e-254,-0.327172474915953,0.106,0.532,2.27984085685093e-250,"0","ATP5PO"
1.02755047844232e-254,-1.09148661594589,0.047,0.413,2.29051277149578e-250,"0","PLEKHO1"
1.19660116309605e-254,-0.486603587741578,0.095,0.508,2.6673436526574e-250,"0","SRSF11"
1.41192439788093e-254,-0.773850583423301,0.07,0.458,3.14732067531639e-250,"0","MBNL1"
2.00342177748651e-254,-0.79052880463701,0.069,0.456,4.46582748419519e-250,"0","SH3GLB1"
7.92695870705525e-254,-1.74844490186618,0.034,0.384,1.76699836538969e-249,"0","ODC1"
1.17540245965394e-253,-0.753021425340902,0.063,0.445,2.62008962281461e-249,"0","APMAP"
3.51499075880972e-253,-1.66694566113777,0.025,0.365,7.83526590046274e-249,"0","MX1"
9.92232987043876e-253,-1.01750415848326,0.07,0.456,2.2117865514195e-248,"0","ARID5B"
2.35413910267597e-252,-1.45286022833107,0.244,0.669,5.24761147377501e-248,"0","LGALS1"
3.61513989413756e-252,-0.689457856235886,0.048,0.413,8.05850833802203e-248,"0","ZYX"
3.74399965463022e-252,-0.565918269667911,0.094,0.503,8.34574963013622e-248,"0","STAT3"
3.77926692321409e-252,-0.573884950281213,0.07,0.458,8.42436389853652e-248,"0","ATP2B1"
3.02595103188242e-251,-0.750276862631424,0.094,0.5,6.74514744516911e-247,"0","PAXX"
4.17339408951289e-251,-0.396976655922247,0.114,0.541,9.30291276493319e-247,"0","SCAF11"
4.28037631265767e-251,-0.893767215123343,0.084,0.482,9.54138683854521e-247,"0","PLIN2"
2.88664198546728e-250,-0.806000933091096,0.652,0.94,6.4346136498051e-246,"0","RPS8"
1.33682782455079e-249,-0.463567462874192,0.127,0.566,2.97992290370616e-245,"0","MYDGF"
8.4184148017363e-249,-0.858444357096002,0.046,0.405,1.87654884345504e-244,"0","HEXA"
1.52457097161817e-248,-0.288396818940879,0.165,0.644,3.39842115283407e-244,"0","CNBP"
3.5544559508945e-248,-1.84329422982843,0.021,0.352,7.92323776013894e-244,"0","TMX4"
